name,real,user,sys
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O0,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_orig_O3,0.00,0.00,0.00
icase_mut_O3,0.08,0.07,0.00
icase_mut_O3,0.08,0.07,0.00
icase_mut_O3,0.08,0.08,0.00
icase_mut_O3,0.08,0.07,0.00
icase_mut_O3,0.08,0.07,0.00
icase_mut_O3,0.08,0.07,0.00
icase_mut_O3,0.08,0.06,0.01
icase_mut_O3,0.08,0.06,0.01
icase_mut_O3,0.08,0.07,0.00
icase_mut_O3,0.08,0.06,0.01
icase_mut_O3,0.08,0.08,0.00
icase_mut_O3,0.08,0.06,0.01
icase_mut_O3,0.08,0.08,0.00
icase_mut_O3,0.08,0.08,0.00
icase_mut_O3,0.08,0.07,0.00
icase_mut_O3,0.08,0.07,0.00
icase_mut_O3,0.08,0.06,0.01
icase_mut_O3,0.08,0.07,0.01
icase_mut_O3,0.08,0.07,0.00
icase_mut_O3,0.08,0.06,0.01
icase_mut_O3,0.08,0.07,0.01
icase_mut_O3,0.08,0.06,0.01
icase_mut_O3,0.08,0.07,0.01
